"strain","hour","avg_t","sd_t","avg_w","sd_w","unpaired_t","unpaired_df","unpaired_p","paired_t","paired_df","paired_p","unpaired_p_BH","paired_p_BH"
"EPI300_pCC1_ATF1_iAAl",13,0.998333333333333,0.053153864707407,0.509083333333333,0.0268576494379782,14.2292259289012,2.95874293986713,0.000808809929623626,19.6911450138037,2,0.00256910541039169,0.00179735539916361,0.00550522587941076
"EPI300_pCC1_ATF1_iAAl",14,1.03566666666667,0.0398036849215413,0.53275,0.0272213151776324,18.0640050978427,3.53503352990174,0.000130931208029994,25.7501866514351,2,0.00150472845240269,0.000506830482696753,0.00382239318132939
"EPI300_pCC1_ara",0,0.0413333333333333,0.00650640709864771,0.02475,0.00346410161513776,3.89672073869009,3.04952654232425,0.0291130568201968,2.9891877964274,2,0.0960613254144205,0.0317596983493056,0.0985244363224826
"EPI300_pCC1_ara",1,0.112,0.0195192212959431,0.0604166666666667,0.0055075705472861,4.40527554112031,2.31645432902573,0.0363867125314061,3.61648347957732,2,0.0686757845125009,0.0386407566705198,0.0716616881869575
"EPI300_pCC1_ara",2,0.207333333333333,0.0132790561913614,0.14475,0.00346410161513776,7.89870186489163,2.27095686444687,0.0107142506549211,7.08112536362426,2,0.0193657906402205,0.0132547430782529,0.0225620861827812
"EPI300_pCC1_ara",3,0.344,0.018,0.198083333333333,0.00461880215351701,13.6002307533513,2.2622375853638,0.00323661733944212,13.6002307533513,2,0.00536293869402215,0.00467944675581994,0.00775364630461034
"EPI300_pCC1_ara",4,0.439333333333333,0.0235017729827631,0.248083333333333,0.00808290376865475,13.3286139392393,2.46661554238137,0.00232457181794663,10.7529831428292,2,0.00853792311402357,0.00387428636324439,0.0115118064458745
"EPI300_pCC1_ara",5,0.552333333333333,0.0143643076176101,0.28975,0.00866025403784439,27.1154732434824,3.28427381243286,5.61740706252809e-05,21.6493279498408,2,0.00212678682976754,0.000287362291336897,0.00478025465285305
"EPI300_pCC1_ara",6,0.651333333333333,0.0230072452356499,0.321416666666667,0.0066583281184794,23.8580571881888,2.33267898778979,0.000770096888706612,19.9269547990615,2,0.00250888836706015,0.00177714666624603,0.00547393825540395
"EPI300_pCC1_ara",7,0.726666666666667,0.0155670592384475,0.35075,0.0062449979983984,38.8187558874481,2.62748931241678,0.000106394224845344,31.2781573146501,2,0.00102059263046612,0.000443714971512663,0.00291597894418891
"EPI300_pCC1_ara",8,0.814333333333333,0.0310698138606161,0.390416666666667,0.0102143689640297,22.4500280391624,2.42732868304854,0.00071012955461993,17.8063163369043,2,0.00313908551337614,0.00167089306969395,0.00579523479392518
"EPI300_pCC1_ara",9,0.877,0.0225388553391693,0.419416666666667,0.00929157324317758,32.5099110173778,2.66070737348498,0.000155131243821245,25.0336824146544,2,0.0015918881025838,0.000568544023699992,0.00389850147571543
"EPI300_pCC1_ara",10,0.927,0.0219317121994613,0.439083333333333,0.00750555349946511,36.4572905439905,2.46212970376301,0.000199009630400029,37.8950510546826,2,0.000695635371975354,0.000682004048716821,0.00259721977197162
"EPI300_pCC1_ara",11,0.991666666666667,0.0323470761172216,0.456083333333333,0.00802080627701065,27.8352939662235,2.24501196594332,0.000675058121505264,28.1065334452192,2,0.00126346074296421,0.00162013949161263,0.00352593695710943
"EPI300_pCC1_ara",12,1.02233333333333,0.0223681320930769,0.472083333333333,0.0122202018532156,37.3917151310453,3.09621653784786,3.24353611505325e-05,38.6835509338281,2,0.000667593755942122,0.000194612166903195,0.00259721977197162
"EPI300_pCC1_ara",13,1.064,0.0226495033058123,0.487416666666667,0.0161967074843418,35.865631669311,3.62146933120027,9.39340628217103e-06,36.8031914893616,2,0.000737476876020232,7.04505471162827e-05,0.00259721977197162
"EPI300_pCC1_ara",14,1.08533333333333,0.018339392937972,0.500083333333333,0.0125033328890074,45.6694162081469,3.52893359029822,5.08463963827307e-06,84.4735612608066,2,0.000140109348006142,4.35826254709121e-05,0.00183053667551895
